"id","instrument","timeframe","ok_percent","ok_final_percent","avg_diff","avg_candle_size","side","volume","candle_count"
11916,AAVEUSDT,ONE_MINUTE,56.926407,6.8441067,0.09718126,0.07487699,SHORT,13633965,462
11917,ACEUSDT,ONE_MINUTE,7.606264,44.117645,0.03499646,0.38880554,LONG,3986982.0,447
11918,ACEUSDT,ONE_MINUTE,69.60352,6.012658,0.17517988,0.11527741,SHORT,3986982.0,454
11919,ACHUSDT,ONE_MINUTE,7.7951,48.57143,0.016301263,0.21574272,LONG,1634392.0,449
11920,ACHUSDT,ONE_MINUTE,61.25,8.843537,0.09681863,0.064421244,SHORT,1634392.0,480
11921,ADAUSDT,ONE_MINUTE,6.791569,72.413795,0.020304792,0.19139464,LONG,68706661,427
11922,ADAUSDT,ONE_MINUTE,70.60185,6.557377,0.08725258,0.05796895,SHORT,68706661,432
11923,AERGOUSDT,ONE_MINUTE,5.6603775,44.444443,0.010874581,0.25099406,LONG,234351.0,159
11924,AERGOUSDT,ONE_MINUTE,100.0,2.0134227,0.12727433,0.009878445,SHORT,234351.0,149
11925,AEROUSDT,ONE_MINUTE,6.8226123,94.28571,0.09432323,0.523827,LONG,9997151.0,513
11926,AEROUSDT,ONE_MINUTE,30.839003,25.0,0.22310837,0.25628927,SHORT,9997151.0,441
11927,AEVOPERP,ONE_MINUTE,8.527132,27.272728,0.006995526,0.5437375,LONG,17296.0,129
11928,AEVOPERP,ONE_MINUTE,100.0,0.0,0.23259106,0.015739465,SHORT,17296.0,104
11929,AEVOUSDT,ONE_MINUTE,7.051282,54.545456,0.042963848,0.3649457,LONG,10598966,468
11930,AEVOUSDT,ONE_MINUTE,67.567566,6.1538463,0.17292117,0.11884263,SHORT,10598966,481
11931,AGIUSDT,ONE_MINUTE,7.6131687,91.89189,0.053876158,0.41996068,LONG,7658971.0,486
11932,AGIUSDT,ONE_MINUTE,48.85655,18.723404,0.17992601,0.15781623,SHORT,7658971.0,481
11933,AGLDUSDT,ONE_MINUTE,5.579399,73.07692,0.033860873,0.38101044,LONG,2135164.0,466
11934,AGLDUSDT,ONE_MINUTE,64.81069,11.683848,0.15348361,0.09392749,SHORT,2135164.0,449
11935,AIOZUSDT,ONE_MINUTE,7.1942444,73.333336,0.031113505,0.39702922,LONG,2343649.0,417
11936,AIOZUSDT,ONE_MINUTE,53.19693,13.942307,0.16746467,0.12640981,SHORT,2343649.0,391
11937,AIUSDT,ONE_MINUTE,6.960557,43.333332,0.02571286,0.29485306,LONG,2722526.0,431
11938,AIUSDT,ONE_MINUTE,64.30108,3.6789298,0.124716505,0.06868647,SHORT,2722526.0,465
11939,AKROUSDT,ONE_MINUTE,7.0904646,51.724136,0.015572777,0.21079554,LONG,884730.0,409
11940,AKROUSDT,ONE_MINUTE,78.589424,8.333333,0.090931945,0.053407997,SHORT,884730.0,397
11941,AKTUSDT,ONE_MINUTE,6.0,83.333336,0.029021967,0.326202,LONG,2344513.0,300
11942,AKTUSDT,ONE_MINUTE,48.78788,11.180124,0.12393727,0.09486591,SHORT,2344513.0,330
11943,ALGOUSDT,ONE_MINUTE,5.3968253,52.941177,0.012447372,0.20208785,LONG,4950518.0,315
11944,ALGOUSDT,ONE_MINUTE,100.0,3.2258065,0.10076636,0.031603232,SHORT,4950518.0,310
11945,ALICEUSDT,ONE_MINUTE,7.3221755,71.42857,0.15836504,1.0553309,LONG,66958673,478
11946,ALICEUSDT,ONE_MINUTE,54.214123,11.344538,0.46582454,0.36442164,SHORT,66958673,439
11947,ALPACAUSDT,ONE_MINUTE,8.421053,58.333332,0.012584668,0.20520365,LONG,95217.0,285
11948,ALPACAUSDT,ONE_MINUTE,80.602005,3.319502,0.0845382,0.028578738,SHORT,95217.0,299
11949,ALPHAUSDT,ONE_MINUTE,7.5060534,38.70968,0.010607946,0.18829212,LONG,981625.0,413
11950,ALPHAUSDT,ONE_MINUTE,69.33962,1.0204082,0.082940295,0.04330283,SHORT,981625.0,424
11951,ALTUSDT,ONE_MINUTE,9.066667,41.17647,0.021621298,0.30233437,LONG,12438556,375
11952,ALTUSDT,ONE_MINUTE,68.26667,3.125,0.14747247,0.09053576,SHORT,12438556,375
11953,AMBUSDT,ONE_MINUTE,8.684211,54.545456,0.01417076,0.2299653,LONG,1006575.0,380
11954,AMBUSDT,ONE_MINUTE,67.25888,6.792453,0.103315786,0.05813614,SHORT,1006575.0,394
11955,ANKRUSDT,ONE_MINUTE,7.9155674,46.666668,0.01352004,0.239101,LONG,1060393.0,379
11956,ANKRUSDT,ONE_MINUTE,78.77984,1.3468014,0.10664901,0.05472234,SHORT,1060393.0,377
11957,ANTUSDT,ONE_MINUTE,8.252427,58.82353,0.01506145,0.19604969,LONG,332609.0,206
11958,ANTUSDT,ONE_MINUTE,64.70588,6.060606,0.086367644,0.048594367,SHORT,332609.0,204
11959,APEUSDT,ONE_MINUTE,6.4935064,46.666668,0.027783416,0.2439916,LONG,11680145,462
11960,APEUSDT,ONE_MINUTE,68.0162,6.25,0.11931214,0.07870645,SHORT,11680145,494
11961,API3USDT,ONE_MINUTE,6.521739,41.666668,0.017563539,0.2552763,LONG,2806078.0,368
11962,API3USDT,ONE_MINUTE,75.5611,3.30033,0.11645364,0.04947518,SHORT,2806078.0,401
11963,APTUSDT,ONE_MINUTE,6.304348,72.413795,0.030150123,0.226023,LONG,24036969,460
11964,APTUSDT,ONE_MINUTE,59.91903,7.0945945,0.10211837,0.077354476,SHORT,24036969,494
11965,ARBPERP,ONE_MINUTE,6.504065,0.0,0.01708957,0.3913612,LONG,33887.0,123
11966,ARBPERP,ONE_MINUTE,85.840706,0.0,0.145222,0.041354235,SHORT,33887.0,113
11967,ARBUSDT,ONE_MINUTE,5.2410903,52.0,0.02278547,0.19272563,LONG,42103120,477
11968,ARBUSDT,ONE_MINUTE,69.61207,5.263158,0.09451642,0.06189476,SHORT,42103120,464
